Psycometric Mark,BagrutAverage
725,91.21
570,93.86
673,94.42
613,
537,93.64
682,91.12
709,96.86
725,94.92
686,89.48
606,78.18
702,92.09
724,99.04
750,94.88
673,99.78
639,89.89
617,93.35
669,94.65
677,97.74
523,
721,99.59
668,102.18
640,102.71
671,
627,107
671,
656,
583,
528,99.7
661,92.68
790,109.59
699,98.57
607,102.57
668,84.36
675,103.27
657,100.9
698,102.7
623,101.91
618,91.11
712,96.86
567,92.28
641,99.43
569,91.47
697,103.3
725,111.07
698,99.21
647,94.92
659,89.23
668,91.68
685,
657,101.83
621,92.07
551,96.87
600,96.3
725,
532,97.69
627,94.33
646,93
736,104.79
578,88.92
515,95.41
617,79.04
561,79.46
633,94.35
592,97.27
639,101.14
586,88.76
682,105.22
703,89.67
615,86.5
756,109.89
741,108.66
477,86.22
691,99.12
685,93.23
728,111.41
698,104.19
638,105.47
632,82.62
649,99.11
703,94.14
725,94.03
486,
741,106.13
512,
699,96.35
665,
564,96.04
603,96.83
541,96.86
618,91.9
720,93.96
666,101.36
560,69
714,97.24
707,109.38
694,102.45
700,101.62
750,96.13
461,0
764,110.61
681,92.13
624,91.38
643,106.37
726,104.96
692,97.9
706,100.85
638,92.93
538,
315,
724,108.46
588,96.65
639,101.97
586,88.83
732,105.73
532,
708,96.92
678,95.88
783,112.12
558,84
745,99.08
720,99.61
661,96.59
717,107.59
489,
686,105.85
600,96.21
582,96.29
683,107.13
646,97.17
605,100.37
496,95.03
742,100.34
692,101.43
715,97.34
626,99.39
665,92.67
575,90.05
690,96.22
652,93.43
506,77.18
616,90.65
694,109.95
712,110.68
718,98.85
616,
780,103.03
729,106.71
729,115.11
714,97.19
641,98.61
495,83.61
649,
691,
390,
676,97.48
530,92.04
440,71.95
754,97.7
712,105.88
674,95.32
723,114.18
694,98.21
666,99.68
558,
491,94.61
616,95.62
624,94.85
672,98.81
743,99.44
759,112
682,84.05
639,92.48
562,83.65
547,91.5
737,103.23
611,
686,102.72
749,107.3
648,
699,
723,104.78
724,103.67
744,114.15
692,100.17
700,102.12
605,89.38
557,89.25
618,108.11
697,90.13
656,102.46
682,105.79
399,
626,93.57
563,78.7
648,
605,
598,96.96
738,96.48
633,98
673,104.64
673,93.26
605,84.29
632,100.07
686,101.67
646,103.89
617,101.54
633,97.54
658,92.19
603,
447,73.4
681,98.81
717,109.41
635,100.05
664,97.2
541,93.64
633,95.55
716,105.48
536,96.35
655,102.32
716,100.05
721,112.41
681,90.76
675,
634,
480,
737,99.7
714,100.91
691,112.38
608,86.3
532,93.04
584,94.17
538,88.57
668,97.37
528,88.64
621,97.67
489,
517,78.05
598,86.89
663,96.82
495,68.96
656,88.67
591,0
658,90.42
522,93.63
606,
769,
577,93.61
711,103.97
611,
537,100.96
712,101.09
527,102.33
637,92.48
715,107.1
732,106.96
646,106.23
697,104.89
709,103.33
737,110.1
764,105.04
685,101.6
530,82.65
683,96.15
663,
569,100.69
633,85.79
627,104.15
709,98.24
549,98.26
625,94.11
638,92.38
599,94.09
617,
622,
520,
534,
754,109.56
648,
606,
641,89.29
657,100.45
635,94.18
639,101.76
678,98.24
562,100.24
609,98.59
554,76.69
573,88.04
656,93.14
700,91.33
655,100.3
589,78.68
643,97.1
676,103.25
648,94.64
560,95
693,105.79
641,106.6
608,100.72
716,91.95
742,94.96
606,88.79
671,
588,89.95
724,102.36
715,94.04
582,110.7
692,102.22
709,97.34
692,111.32
505,82.91
641,95.96
738,95.64
714,95.24
756,94.71
567,82.36
742,103.96
687,99.19
711,111.14
682,102.68
692,102.22
646,93.35
654,85.86
574,94.35
625,86.43
676,84.65
620,96
532,88
534,85.22
661,96.05
655,92.64
677,
571,88.9
693,103.03
730,107.59
646,
702,103.86
751,105.43
715,97.47
536,88.57
657,104.31
548,80.57
582,
708,107.76
491,78.88
514,83
591,87.1
551,73.83
578,93.25
531,96.19
684,
495,81.9
676,96.93
692,98.75
601,85
544,89.23
613,86.2
655,104.86
591,
659,
496,
496,
589,80.48
714,108.12
461,
759,
768,102.86
783,95.78
686,104.27
756,112.36
712,108.91
642,
543,
651,87.8
649,103.75
651,95.31
663,93.23
398,0
661,101.3
611,93.95
656,
447,
509,
612,
622,98.96
691,93.13
664,
692,87.88
741,111.85
759,109.15
676,0
674,104.44
654,108.46
604,103.68
650,80.74
726,96.09
711,94.43
665,
503,85.24
564,100.8
450,0
599,96.43
718,104.29
589,99.83
667,101.37
717,90.63
693,92.36
608,92.61
686,102.13
633,102.13
681,0
723,93.13
673,94.57
727,88.17
720,
560,88.92
639,99.44
590,88
558,91.82
671,89.96
769,0
658,96.38
548,94.31
652,93.43
715,103.17
744,97.26
745,0
608,98.36
780,99.14
750,106.36
709,95.95
730,99.96
580,104.64
685,96.61
614,95.18
594,87.93
701,100.96
704,106.1
712,96.05
724,99.04
578,93.95
458,
724,90.29
597,87.22
541,
706,104.31
680,0
540,91.5
673,88.5
721,101.12
648,
547,93.2
528,108.52
667,
700,98.43
686,97.09
489,
586,82
553,94.27
621,83.43
657,102.68
680,98.78
735,98.32
751,105.36
623,
672,
616,
652,
489,
652,86.38
535,92
743,102.59
562,93.43
730,92.04
709,95.67
656,94.38
459,76.57
644,98.83
724,
712,100.43
586,
743,
698,104.45
709,109.44
624,
627,94.41
703,101.14
685,
702,
627,
626,
672,
745,104.13
703,103.21
714,96.52
373,
634,95.61
416,
657,71.19
637,79.95
693,92.72
657,88.48
697,92.77
665,99.56
734,105.21
761,107.33
581,0
735,84.17
783,101.08
649,87.15
732,99.32
567,96.83
693,100.57
551,86.27
624,101.13
583,94.58
621,102.81
498,78.04
592,98.71
698,100.7
732,98.93
407,
582,93.29
431,
778,99.91
502,76.92
620,97.18
381,85.48
709,101.8
606,94.85
506,
638,102.36
689,98.67
625,93.5
605,94.35
694,96.91
571,82.29
689,100.22
744,102.93
554,86.54
711,96.71
489,87.81
484,
466,
474,
540,
391,
384,
389,
419,
648,
481,
744,104.3
648,
624,
567,
492,
484,
421,
424,
629,99.04
650,91.22
400,72
564,
372,
475,76.52
417,
709,0
634,
699,101.74
644,
567,
664,
376,
531,
455,
523,
552,
623,
654,97.18
544,65.88
496,
661,
698,
618,
522,
635,
523,68.95
665,91.32
388,
474,0
638,95.4
512,
686,
581,86.5
643,
540,
568,
678,
541,89.62
565,99.18
656,
664,
666,
723,98.14
537,99.29
575,98.43
618,90.38
627,99.82
720,
718,100.29
712,
458,78.12
716,98.41
414,58.19
563,74.38
590,84.6
614,87.75
663,84.44
491,
587,99.41
657,109.92
579,96.38
620,
749,96.43
514,84.6
406,
565,
711,94.82
646,101.1
532,93.29
520,93.46
680,100.62
625,98.87
675,98.19
583,
538,
565,
607,
537,
481,
537,78.82
616,91.63
644,86.91
455,
637,91.26
718,111.63
620,92.9
639,102.62
627,86.71
466,
655,89.83
571,90.28
484,88.17
570,
607,98.08
590,
537,91.67
640,0
735,101.11
624,103.15
614,106.43
689,103.45
518,84.24
674,88.54
588,86.04
613,94.88
504,
522,99.24
745,100.04
680,92.36
612,99.93
552,
720,94.63
665,95.09
704,104.11
637,85.48
455,
583,
506,
591,96.64
518,
625,94.57
603,80.79
707,100.86
480,86.65
609,78.44
685,92.15
453,0
729,109.24
626,
492,86.2
478,0
535,
545,
623,95.1
557,79.22
601,88.18
587,91.32
556,74.71
518,96.64
348,94.04
523,87.45
496,89.71
591,80.27
648,
666,
557,93.39
614,78.09
547,96.5
683,100.44
449,
555,84.08
617,91.93
480,78.73
536,86.33
598,
571,103.21
577,
500,92.67
417,78
675,89.26
741,97.17
594,88.96
466,70.35
615,95.55
577,
441,0
447,85.82
452,82.9
617,91.78
507,84.9
507,
780,103.56
637,104.37
581,0
650,103.17
693,0
614,112.33
639,100.42
567,98.9
672,109.24
718,112.88
736,107.83
402,89.71
556,
643,89.66
700,92.9
604,106.47
638,92.95
503,
692,99.38
521,85.24
661,99.68
729,
671,101.46
660,96.59
648,99.29
572,98.2
672,0
729,108.15
386,86.3
348,
378,
377,
415,99.17
612,97.67
706,
620,
726,102.33
555,
606,
717,
689,
685,
721,
